Group1_Placebo,Group2_Medication
53.577873603482836,46.710049890779274
55.60784526368234,49.39818959803031
60.830512431752766,62.472936051232615
60.53802052034903,61.10370265433465
36.22330632042909,54.79098406035852
40.62174960084877,56.17327383308782
55.1503526720866,67.77664895788425
55.13785950912209,49.0842861116417
55.150476863060476,60.470973811700375
88.52731490654722,52.97807347566106
55.70890510693167,52.8231879677278
61.35565640180599,65.9877685198719
59.54001763493203,63.2541634898803
56.51391251305798,63.135096360006386
46.84730755359654,68.05478807154329
57.589692204932675,55.21003841632759
42.27174785462428,61.81952971294964
47.63181393259991,51.89733243406544
45.14636452170897,58.24166352488442
50.81874139386323,53.698569456323156
73.14658566673509,55.96995964992718
31.32734807408252,60.95157025436914
56.86260190374514,46.81779316766527
33.87284128810349,75.9238727568546
45.280681342105666,44.93982618500298
60.889505969673664,42.85811387212268
50.64280019095463,66.58110873500068
39.22255222070694,62.91662693962936
42.84696290740032,61.24119817052155
56.79597748934676,61.2834550926428
42.69633368282864,54.87753227153085
52.16458589581975,46.02745628514168
50.45571839903814,55.75804558193726
43.483996523941826,48.22838288487888
71.43944089325325,64.7511973341775
56.33919022318011,53.52942618497861
29.74857413342393,46.745028032074885
51.86454314769428,51.78614158347007
43.38213535231612,59.12931454275624
58.52433334796224,49.36275447196025
42.07479261567299,46.77779604433569
48.85263558533101,57.436872114919126
55.049872789804574,57.44966571108723
58.657551941701215,49.9305682462887
37.997035929442234,50.289616943816775
46.654987641590516,57.32049937357636
45.25054688839044,40.51915658502676
43.46670767426288,40.92536225623445
67.65454240281096,47.81555778747564
54.049817109609556,52.86552848288153
37.391160456649544,58.10907565598005
59.17861947054776,69.75356216949552
71.22156197012633,63.576596232020194
60.32465260551147,53.40061470036573
34.80630034045987,54.80983792097311
45.15765927133749,44.97470635362191
62.669111491866225,54.8148686400761
42.92330534381219,52.11341361079862
54.43819428146229,58.227185603380896
57.74634053429337,46.727690564476774
40.730695284219166,60.193465142411725
49.404746439382,70.32738913002578
17.58732659930927,53.91239851543143
39.756123586657104,59.01711722098941
47.4743184860684,61.90143991711113
37.52216818035151,50.987795281141636
66.32411303931636,57.24092481810417
35.69858622039367,55.12592400781795
45.599555133030165,55.97676098548832
51.30740577286091,47.26990216144534
64.41273289066116,55.245101742589426
35.6413784882056,59.979982912454496
61.63163752154959,69.51143607795042
50.10233061019587,64.59270826085206
40.18491348952049,76.53182457511556
54.62103474263271,47.326524371119504
51.9905969557347,63.723206367206785
43.99783122841205,56.83342005738352
50.69802084990019,76.89802933217672
46.1468640313824,46.91701714644849
51.13517345251248,46.602781578192236
56.62130674521047,49.00607354555978
65.86016816145352,33.76104275690193
37.62184501173151,49.74244978319239
71.33033374656267,47.40867338446302
30.479122004774982,56.50393786476208
48.482149049644164,58.41755975777159
55.883172064845766,73.76170839215887
52.809918677350325,64.5042383818605
43.77300480179406,49.23096344337597
47.918777496427246,46.01585328651642
45.06999065341167,59.919191715065054
44.106352430557884,41.797667929793576
58.496020970210246,73.31458765854353
53.57015485965047,66.79440120721287
43.070904047393455,50.30824347895295
58.995998754332504,37.868654709091224
53.072995208766095,68.53872374165412
58.1286211883896,53.85460154747382
56.29628841923612,67.37816311973462
